structurePerIdRank,formulaRank,ConfidenceScoreExact,ConfidenceScoreApproximate,CSI:FingerIDScore,ZodiacScore,SiriusScoreNormalized,SiriusScore,molecularFormula,adduct,precursorFormula,InChIkey2D,InChI,name,smiles,xlogp,pubchemids,links,dbflags,ionMass,retentionTimeInSeconds,retentionTimeInMinutes,formulaId,alignedFeatureId,mappingFeatureId,overallFeatureQuality
1,5,0,123,0,123,-88,411,,0,069,5,150,C4H6Cl2NO,[M + H]+,C4H7Cl2NO+,CPEFUJHKTHUNJJ,InChI=1S/C4H6Cl2NO/c1-7(2)4(8)3(5)6/h1-2H3,,CN(C)C(=O)[C](Cl)Cl,1,100,134847651,PUBCHEM:(134847651),2,154,990,1,0,022,685521757720938236,685521473028343024,2,
1,2,0,117,0,117,-63,309,,0,141,6,365,C3H5N3OS,[M + K]+,C3H5KN3OS+,VYZCRHCTZDESMM,"InChI=1S/C3H5N3OS/c1-4-2-5-6-3(7)8-2/h1H3,(H,4,5)(H,6,7)","5-Methylamino-1,3,4-thiadiazole-2-one",CNC1=NNC(=O)S1,0,100,554187,PUBCHEM:(554187),2,169,977,1,0,023,685521749659484611,685521472889930987,1,
1,1,0,030,0,030,-101,134,,0,807,38,178,C4H3F3O3,[M + K]+,C4H3F3KO3+,XGLLQDIWQRQROJ,"InChI=1S/C4H3F3O3/c1-10-3(9)2(8)4(5,6)7/h1H3",Methyl Trifluoropyruvate,COC(=O)C(=O)C(F)(F)F,1,100,2734931,PUBCHEMANNOTATIONSAFETYANDTOXIC;PUBCHEM:(2734931);DSSTox:(DTXSID30370581);PUBMED,137506062402,194,966,39,0,650,685521776188461617,685521473196115194,4,
1,2,0,062,0,062,-56,819,,0,038,53,000,C3H5O8P,[M + Na]+,C3H5NaO8P+,OGIYJXRPEDJJSV,"InChI=1S/C3H5O8P/c4-1(2(5)6)3(7)11-12(8,9)10/h3,7H,(H,5,6)(H2,8,9,10)",3-Hydroxy-2-oxo-3-phosphonooxypropanoic acid,C(C(=O)C(=O)O)(O)OP(=O)(O)O,-2,600,11424192,PUBCHEM:(11424192),2,222,961,39,0,650,685521751718888108,685521473263224063,5,
1,1,0,075,0,075,-69,247,,0,336,5,589,C8H4ClN3O,[M + Na]+,C8H4ClN3NaO+,DTULMBRNVDTDDF,"InChI=1S/C8H4ClN3O/c9-7-1-3-12-8(11-7)6(2-4-13)5-10-12/h1-3,5H",,C1=CN2C(=C(C=N2)C=C=O)N=C1Cl,1,700,154930621,PUBCHEM:(154930621),2,215,993,40,0,671,685521748250198199,685521473334527236,6,
1,1,0,112,0,147,-203,139,,0,719,15,146,C11H16O11,[M + K]+,C11H16KO11+,LAJCJBGHRNNRGT,"InChI=1S/C11H16O11/c1-4(13)10(18)22-21-6(14)2-11(19)9(17)8(16)7(15)5(3-12)20-11/h5,7-9,12,15-17,19H,2-3H2,1H3",Glucose pyruvate acetate,CC(=O)C(=O)OOC(=O)CC1(C(C(C(C(O1)CO)O)O)O)O,-2,400,129733199;156963415,PUBCHEMANNOTATIONBIO:(null);HMDB:(HMDB0252787);BloodExposome:(129733199);PUBCHEM:(129733199 156963415),20971530,363,033,44,0,735,685521782601553068,685521473481327886,11,
1,1,0,075,0,075,-175,511,,0,999,51,470,C10H14N4O7,[M + K]+,C10H14KN4O7+,XIBHHWBJHOTHGZ,"InChI=1S/C10H14N4O7/c15-2-4(17)6(18)3(16)1-14-7-5(11-10(14)21)8(19)13-9(20)12-7/h3-4,6,15-18H,1-2H2,(H,11,21)(H2,12,13,19,20)","3-(1,3,7-Trihydro-9-D-Ribityl-2,6,8-Purinetrione-7-Yl)",C(C(C(C(CO)O)O)O)N1C2=C(C(=O)NC(=O)N2)NC1=O,-4,300,10402630;11987825,PUBCHEMANNOTATIONBIO:(null);BloodExposome:(10402630);PUBCHEM:(10402630 11987825);PUBMED:(null),20971586,341,051,45,0,754,685521762892515779,685521473540048147,13,
1,3,0,045,0,045,-172,168,,0,000,63,219,C10H24N2O8S2,[M + H]+,C10H25N2O8S2+,BYZJBHCTZJGJFV,"InChI=1S/C10H24N2O8S2/c1-21(15,16)19-5-3-11-7-9(13)10(14)8-12-4-6-20-22(2,17)18/h9-14H,3-8H2,1-2H3",Lykurim,CS(=O)(=O)OCCNCC(C(CNCCOS(=O)(=O)C)O)O,-3,000,6336301;20107;142773;93987752,PUBCHEMANNOTATIONBIO:(null);HMDB:(HMDB0254257);PUBCHEMANNOTATIONSAFETYANDTOXIC:(null);BloodExposome:(142773 20107);MESH:(20107 142773);PUBCHEM:(6336301 20107 142773 93987752);DSSTox:(DTXSID40931521 DTXSID801023469);PUBCHEMANNOTATIONDRUG:(null);PUBMED:(null),137560588366,365,106,46,0,764,685521771595698128,685521473657488669,17,
1,1,0,094,0,099,-235,103,,0,774,65,403,C10H21NO6,[M + H]+,C10H22NO6+,CRYAIAMXDBHCTJ,"InChI=1S/C10H21NO6/c1-2-3-4-11-10(17)9(16)8(15)7(14)6(13)5-12/h6-9,12-16H,2-5H2,1H3,(H,11,17)","(2R,3R,4S,5S)-N-butyl-2,3,4,5,6-pentahydroxyhexanamide",CCCCNC(=O)C(C(C(C(CO)O)O)O)O,-2,400,4288263;7271984;7271985;7271986;99948229;99948231;92536855;87607,NORMAN:(NS00052148);PUBCHEM:(4288263 7271984 7271985 7271986 99948229 99948231 92536855 87607);DSSTox:(DTXSID001314971),137439215618,252,144,46,0,765,685521753908315090,685521473602962712,15,
1,1,0,164,0,212,-62,651,,0,961,16,555,C9H18O8,[M + Na]+,C9H18NaO8+,NHJUPBDCSOGIKX,"InChI=1S/C9H18O8/c10-1-4(12)3-16-9-8(15)7(14)6(13)5(2-11)17-9/h4-15H,1-3H2",Glucosylglycerol,C(C1C(C(C(C(O1)OCC(CO)O)O)O)O)O,-3,400,95162429;101072096;124567366;4302177;144403030;67351818;40463685;15559908;15559911;15559912;16048618;129725894;163803964;129852119;23520138;124146472;101612205;124389366;96361165;162922610;162922611;162922612;94827838;89682175;70681492;92291844;92291845;92291846;92291847;10083634;91849119;91850365;10220660;656504;60122944;153532582;71716695;93090040;121461316;68256528;11425306;139026049;70322858;193395;446397;46780447;117660650;11658901;11807209;11959966;71104487;71317131;24809553,PUBCHEMANNOTATIONBIO:(null);HMDB:(HMDB0006790 HMDB0038664 HMDB0304157);MiMeDB:(MMDBc0047796);BloodExposome:(656504 16048618);SUPERNATURAL:(SN0245604);MESH:(193395);FooDB:(FDB018063 FDB024079 FDB030467);PUBCHEM:(95162429 101072096 124567366 4302177 144403030 67351818 40463685 15559908 15559911 15559912 16048618 129725894 163803964 129852119 23520138 124146472 101612205 124389366 96361165 162922610 162922611 162922612 94827838 89682175 70681492 92291844 92291845 92291846 92291847 10083634 91849119 91850365 10220660 656504 60122944 153532582 71716695 93090040 121461316 68256528 11425306 139026049 70322858 193395 446397 46780447 117660650 11658901 11807209 11959966 71104487 71317131 24809553);COCONUT:(CNP0192217);METACYC:(3-B-D-GALACTOSYL-SN-GLYCEROL);CHEBI:(91033 144569 150213 15754 148043 148606 147510 147787 166876 191711);KEGG:(C05401);DSSTox:(DTXSID90936687);LOTUS:(Q105179427 Q27098216 Q105179428 Q105179424 Q105179416 Q105179425 Q105179419 Q105179426);PUBCHEMANNOTATIONDRUG:(null);PUBMED:(null);KNAPSACK:(NHJUPBDCSOGIKX-UHFFFAOYSA-N),139375675774,277,090,46,0,773,685521749546238372,685521474009810235,25,
